feature,spearman_vs_target,pearson_vs_target,kept_after_pruning
time_index,1.0,0.959,True
total_active_headcount_lag3,1.0,0.749,False
ebitda_margin_pct_roll6_mean,1.0,0.949,False
ebitda_margin_pct_roll3_mean,1.0,0.941,False
total_active_headcount,1.0,0.885,False
total_active_headcount_lag6,1.0,0.929,False
total_active_headcount_lag2,1.0,0.785,False
total_active_headcount_roll6_mean,1.0,0.837,False
total_active_headcount_roll3_mean,1.0,0.848,False
total_active_headcount_lag1,1.0,0.833,False
billable_fte_total_roll6_mean,0.989,0.776,False
ebitda_margin_pct_lag3,0.986,0.936,False
ebitda_margin_pct_lag6,0.986,0.956,False
ebitda_margin_pct_lag2,0.982,0.935,False
ebitda_margin_pct_lag1,0.971,0.917,False
ebitda_usd_total_roll6_mean,0.971,0.852,False
ebitda_margin_pct,0.971,0.919,False
total_logged_hours_roll6_mean,0.964,0.806,False
under_allocated_count_roll6_mean,0.938,0.914,False
billable_fte_total_roll3_mean,0.936,0.762,False
shadow_unbilled_count_roll3_mean,0.895,0.853,False
ebitda_margin_pct_roll6_std,-0.893,-0.929,False
new_projects_total_roll6_mean,-0.893,-0.927,False
unbillable_fte_total_roll6_mean,0.879,0.909,False
billable_hours_roll6_mean,0.875,0.663,False
total_logged_hours_roll3_mean,0.857,0.729,False
billable_fte_data_engineering,0.854,0.782,False
revenue_usd_total_roll6_mean,0.854,0.762,False
shadow_unbilled_count,0.852,0.798,False
shadow_unbilled_count_roll6_mean,0.832,0.821,True
unbillable_fte_total_roll3_mean,0.829,0.896,True
billable_fte_total_lag1,0.821,0.719,True
unbillable_fte_total_lag3,0.818,0.736,True
ebitda_usd_total_roll3_mean,0.814,0.67,True
billable_fte_total,0.811,0.759,False
billable_fte_total_roll6_std,0.804,0.723,True
billable_fte_total_lag2,0.796,0.664,True
completions_total_roll6_mean,0.792,0.867,False
shadow_unbilled_count_lag1,0.791,0.75,True
revenue_usd_billable_roll6_mean,0.775,0.685,True
total_active_headcount_roll6_std,0.775,0.789,False
free_pool_headcount,0.771,0.748,True
unbillable_fte_total_lag1,0.764,0.808,False
billable_fte_total_lag3,0.764,0.645,True
billable_fte_bi_reporting,0.761,0.675,True
new_hires_usa,0.76,0.742,True
new_hires_uk,0.757,0.757,False
new_hires_total_roll3_mean,0.756,0.653,False
shadow_unbilled_count_lag2,0.755,0.721,True
billable_hours_roll3_mean,0.754,0.659,True
ebitda_usd_total_lag6,0.75,0.854,True
new_hires_total_roll6_std,0.744,0.835,False
new_projects_total_lag3,-0.74,-0.617,True
billable_fte_techops,0.739,0.726,False
total_active_headcount_roll3_std,0.739,0.573,False
unbillable_fte_total_roll6_std,0.729,0.801,True
notice_cohort_avg_pulse_before,-0.728,-0.791,True
billable_fte_ai_ml,0.725,0.705,True
n_respondents,0.725,0.684,False
unbillable_fte_total,0.721,0.817,True
