feature,perm_importance_mean,perm_importance_std
unbillable_fte_total_roll6_mean,3.249033756613748,0.9652894441670022
unbillable_fte_total_roll6_std,2.491722857142818,0.6583744840843153
total_active_headcount,2.3493162962963123,0.5581606840651563
shadow_unbilled_count_lag6,1.6017438624338658,0.38169057551444674
completions_on_time_roll6_std,0.8173401587301397,0.2984658456469438
resignations_total_roll6_mean,0.6362084656084437,0.19137496039428437
free_pool_headcount_roll6_std,0.6101438095237737,0.20514048099634066
completions_on_time_roll6_mean,0.5206612169312103,0.2370633342298165
total_logged_hours_roll6_std,0.4782768253968182,0.15823695433507978
avg_q1_motivation_roll6_mean,0.3831559788359284,0.13527958130846465
extensions_billable_roll6_std,0.3775650793650684,0.15626089830353132
total_active_headcount_roll6_std,0.3769391534391372,0.14086702612697155
new_hires_total_roll6_std,0.3476103703703419,0.12323174120576316
over_allocated_count_lag6,0.33493481481480974,0.13634033121384545
new_projects_total_lag3,0.32225719576719125,0.19790380355722215
promotions_total_roll6_mean,0.26911798941797405,0.21437198452796272
ratio_over_to_under_allocated,0.26336666666664604,0.11783418494013197
revenue_usd_total_lag3,0.22187518518517071,0.15739655889955775
completions_on_time_roll3_mean,0.18616111111110117,0.06098519841671646
revenue_usd_managed_services,0.16797936507934833,0.08137185041922203
free_pool_headcount_lag3,0.10502343915341919,0.051499423259556025
revenue_usd_billable_lag6,0.09174222222220489,0.027115548270775575
extensions_billable_lag6,0.07663703703702558,0.04360164731789707
new_projects_managed_services,0.02653888888888066,0.04447807253259244
extensions_billable_lag3,-0.0569196825396995,0.04865834600934501
