month,revenue_usd_total,revenue_usd_data_engineering,revenue_usd_bi_reporting,revenue_usd_ai_ml,revenue_usd_full_stack,revenue_usd_techops,revenue_usd_core_reporting,revenue_usd_exit_support,revenue_usd_managed_services,revenue_usd_value_creation,revenue_usd_data_advisory,revenue_usd_due_diligence,revenue_usd_billable,ebitda_usd_total,ebitda_margin_pct,revenue_usd_unbillable,new_projects_total,new_projects_data_engineering,new_projects_bi_reporting,new_projects_ai_ml,new_projects_full_stack,new_projects_techops,new_projects_core_reporting,new_projects_exit_support,new_projects_managed_services,new_projects_value_creation,new_projects_data_advisory,new_projects_due_diligence,extensions_billable,extensions_unbillable,completions_total,completions_on_time,new_phases_started,escalations_total,client_location_chennai_pct,client_location_uk_pct,client_location_usa_pct,client_location_other_pct,new_hires_total,new_hires_chennai,new_hires_uk,new_hires_usa,new_hires_by_role_json,resignations_total,resignations_by_role_json,notice_period_headcount,promotions_total,free_pool_headcount,free_pool_avg_days,over_allocated_count,under_allocated_count,shadow_unbilled_count,shadow_unbilled_hours,employee_location_chennai_pct,employee_location_uk_pct,employee_location_usa_pct,billable_fte_total,billable_fte_data_engineering,billable_fte_bi_reporting,billable_fte_ai_ml,billable_fte_full_stack,billable_fte_techops,unbillable_fte_total,total_logged_hours,billable_hours,uk_public_holidays,is_low_season,is_peak_season,is_month_end,is_quarter_end,total_active_headcount
2024-08-01,1874020.12,638142.24,532881.38,273545.78,221500.62,207950.11,856037.78,275868.12,283216.67,282200.29,116576.79,60120.47,1580913.37,434308.17,23.18,293106.75,8,3,2,1,1,1,4,1,1,1,0,0,4,2,6,4,5,4,55.00000000000001,25.0,10.0,10.0,9,7,2,0,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 0, ""Associate Consultant"": 0, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 2}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 0, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",29,6,21,14.0,29,54,49,1071.2,73.1,22.9,5.1,321.4,100.1,95.3,46.7,41.1,38.1,56.7,51573.0,44528.0,1,0,0,1,0,555
2024-09-01,1685314.54,538861.53,510478.08,231422.22,226740.99,177811.72,783151.88,275748.24,250247.36,217337.75,108745.19,50084.11,1432521.62,381704.93,22.65,252792.91,8,3,2,1,1,1,4,1,1,1,0,0,5,2,8,6,6,4,55.00000000000001,25.0,10.0,10.0,17,12,4,1,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 3, ""Software Engineer"": 6, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 1, ""Software Engineer"": 0, ""Solutions Enabler"": 0, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 1, ""Manager"": 0}",26,4,23,16.0,31,63,48,1040.0,72.6,23.6,5.0,345.3,127.1,92.3,43.8,43.2,38.9,53.3,50310.0,45765.0,0,0,0,1,1,564
2024-10-01,1777564.66,563095.39,541836.48,234819.96,225901.97,211910.86,831726.59,265841.22,257819.0,247614.94,116113.4,58449.52,1476006.61,426570.66,24.0,301558.05,9,3,3,1,1,1,4,1,1,1,1,0,5,2,8,5,6,6,55.00000000000001,25.0,10.0,10.0,25,18,6,1,"{""Trainee Software Engineer"": 7, ""Senior Software Engineer"": 4, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 3, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 1, ""Manager"": 4}",15,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 5, ""Software Engineer"": 2, ""Solutions Enabler"": 3, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",45,11,22,14.4,38,34,38,720.5,70.8,23.3,4.3,396.8,127.1,121.9,61.8,46.4,39.6,61.8,52042.0,52042.0,0,0,0,1,0,574
2024-11-01,2754488.74,978220.68,789835.6,359480.1,354012.59,272939.76,1261009.82,422617.35,445624.52,370864.42,170783.73,83588.9,2367468.82,681341.27,24.74,387019.91,18,6,6,2,2,2,8,3,3,2,1,1,5,2,7,5,6,5,55.00000000000001,25.0,10.0,10.0,18,13,4,1,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 4, ""Software Engineer"": 2, ""Solutions Enabler"": 5, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 0}",8,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 1, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",23,5,20,13.5,30,38,52,1235.4,72.7,23.1,5.3,360.3,120.8,105.0,52.8,47.1,34.6,44.1,57136.0,48416.0,0,0,0,1,0,584
2024-12-01,1976058.17,644239.53,598357.46,291607.12,260920.93,180933.13,959304.09,298163.2,283922.91,256498.21,117125.92,61043.84,1614600.38,500935.42,25.35,361457.79,9,3,3,1,1,1,4,1,1,1,1,0,3,2,6,5,4,4,55.00000000000001,25.0,10.0,10.0,16,11,4,1,"{""Trainee Software Engineer"": 7, ""Senior Software Engineer"": 2, ""Software Engineer"": 0, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 1, ""Manager"": 2}",9,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 1, ""Software Engineer"": 0, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",26,4,29,22.6,25,65,42,1013.8,71.5,22.2,5.1,369.9,128.2,105.0,54.4,44.9,37.4,51.9,64612.0,48112.0,2,1,0,1,1,591
2025-01-01,1612844.97,547695.57,472672.92,223937.25,221261.95,147277.29,718827.78,272249.24,260084.92,214499.22,99595.27,47588.53,1439940.0,414390.21,25.69,172904.97,8,3,2,1,1,1,3,1,1,1,1,0,4,2,6,4,4,4,55.00000000000001,25.0,10.0,10.0,15,11,3,1,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 4, ""Software Engineer"": 2, ""Solutions Enabler"": 1, ""Associate Consultant"": 3, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",7,"{""Trainee Software Engineer"": 1, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 0, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",15,5,29,27.8,21,65,50,1182.0,72.0,22.8,5.0,339.4,115.9,102.7,46.8,37.8,36.2,49.4,55779.0,47874.0,1,1,0,1,0,598
2025-02-01,2354328.63,765653.62,719207.02,291881.73,324039.02,253547.25,1064267.07,364926.73,374321.57,329995.83,153580.42,67237.02,2149974.43,607074.73,25.79,204354.2,11,4,3,2,1,1,5,2,2,1,1,0,5,2,6,4,8,4,55.00000000000001,25.0,10.0,10.0,11,8,2,1,"{""Trainee Software Engineer"": 0, ""Senior Software Engineer"": 3, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 1, ""Solutions Consultant"": 2, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 0}",7,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 1, ""Software Engineer"": 0, ""Solutions Enabler"": 1, ""Associate Consultant"": 0, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 0, ""Senior Consultant"": 1, ""Manager"": 0}",22,6,22,16.7,41,50,45,1202.3,73.4,23.4,5.3,386.5,125.9,119.1,49.9,51.7,39.9,49.7,57454.0,54408.0,0,0,1,1,0,602
2025-03-01,2569137.52,888677.78,714654.45,360348.78,337476.4,267980.12,1135018.25,437141.3,383257.64,383336.52,152108.93,78274.88,2259750.15,690666.73,26.88,309387.37,10,4,3,1,1,1,5,1,2,2,1,0,5,2,8,5,8,4,55.00000000000001,25.0,10.0,10.0,12,8,3,1,"{""Trainee Software Engineer"": 4, ""Senior Software Engineer"": 3, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 1, ""Manager"": 0}",7,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 2, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 0, ""Senior Consultant"": 0, ""Manager"": 0}",23,4,15,20.1,39,48,44,1168.2,72.4,23.7,4.9,371.1,116.2,114.8,51.9,45.5,42.8,42.9,60004.0,54144.0,0,0,1,1,1,607
2025-04-01,2694102.37,919929.7,806650.3,349447.75,337177.94,280896.67,1243448.87,411647.57,396448.72,398195.15,157860.27,86501.79,2266031.82,747340.85,27.74,428070.55,11,3,3,1,1,1,5,2,2,1,1,0,5,2,6,4,7,4,55.00000000000001,25.0,10.0,10.0,22,16,5,1,"{""Trainee Software Engineer"": 8, ""Senior Software Engineer"": 5, ""Software Engineer"": 1, ""Solutions Enabler"": 1, ""Associate Consultant"": 2, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 2, ""Manager"": 0}",16,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 3, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 2, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 1, ""Consultant"": 2, ""Senior Consultant"": 0, ""Manager"": 0}",44,12,16,18.4,34,45,37,762.2,71.0,22.9,5.2,386.8,127.8,115.1,54.2,47.4,42.2,58.1,71223.0,47443.0,2,0,0,1,0,613
2025-05-01,2526867.86,849375.34,770073.31,315876.99,309018.17,282524.06,1193928.57,381862.61,367228.11,358234.58,146690.15,78923.84,2103940.06,686371.06,27.16,422927.8,10,4,3,1,1,1,5,2,2,2,1,0,5,1,7,4,8,4,55.00000000000001,25.0,10.0,10.0,14,10,3,1,"{""Trainee Software Engineer"": 3, ""Senior Software Engineer"": 3, ""Software Engineer"": 2, ""Solutions Enabler"": 1, ""Associate Consultant"": 1, ""Solutions Consultant"": 1, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 0, ""Manager"": 1}",8,"{""Trainee Software Engineer"": 2, ""Senior Software Engineer"": 0, ""Software Engineer"": 1, ""Solutions Enabler"": 2, ""Associate Consultant"": 0, ""Solutions Consultant"": 0, ""Senior Associate Consultant"": 0, ""Consultant"": 1, ""Senior Consultant"": 1, ""Manager"": 0}",22,4,21,19.0,38,54,46,1063.5,71.5,22.9,4.8,419.0,140.8,124.2,63.9,51.2,38.9,52.3,68632.0,58503.0,2,0,0,1,0,618
