employee_id,resignation_date,notice_start_date,month,months_into_notice,role,coe,location,pulse_score_current_month,pulse_score_3mo_before_notice
SYN_EMP_0009,2024-09-03,2024-06-03,2024-08-01,3,Software Engineer,full_stack,chennai,2.51,2.82
SYN_EMP_0010,2024-09-08,2024-06-08,2024-08-01,3,Trainee Software Engineer,ai_ml,uk,2.73,3.39
SYN_EMP_0011,2024-09-09,2024-06-09,2024-08-01,3,Software Engineer,full_stack,uk,2.66,2.98
SYN_EMP_0012,2024-09-10,2024-06-10,2024-08-01,3,Trainee Software Engineer,data_engineering,chennai,2.94,3.58
SYN_EMP_0013,2024-09-11,2024-06-11,2024-08-01,3,Trainee Software Engineer,data_engineering,chennai,2.26,2.8
SYN_EMP_0014,2024-09-15,2024-06-15,2024-08-01,3,Solutions Consultant,full_stack,chennai,1.93,2.63
SYN_EMP_0015,2024-09-06,2024-06-06,2024-08-01,3,Trainee Software Engineer,techops,uk,2.5,3.19
SYN_EMP_0016,2024-09-12,2024-06-12,2024-08-01,3,Trainee Software Engineer,full_stack,chennai,2.34,2.96
SYN_EMP_0017,2024-10-22,2024-07-22,2024-08-01,2,Senior Associate Consultant,data_engineering,chennai,2.74,3.19
SYN_EMP_0017,2024-10-22,2024-07-22,2024-09-01,3,Senior Associate Consultant,data_engineering,chennai,2.51,3.19
SYN_EMP_0018,2024-10-27,2024-07-27,2024-08-01,2,Software Engineer,ai_ml,chennai,2.35,2.9
SYN_EMP_0018,2024-10-27,2024-07-27,2024-09-01,3,Software Engineer,ai_ml,chennai,2.07,2.9
SYN_EMP_0019,2024-10-08,2024-07-08,2024-08-01,2,Trainee Software Engineer,full_stack,chennai,2.32,2.75
SYN_EMP_0019,2024-10-08,2024-07-08,2024-09-01,3,Trainee Software Engineer,full_stack,chennai,2.1,2.75
SYN_EMP_0020,2024-10-03,2024-07-03,2024-08-01,2,Trainee Software Engineer,data_engineering,chennai,2.85,3.22
SYN_EMP_0020,2024-10-03,2024-07-03,2024-09-01,3,Trainee Software Engineer,data_engineering,chennai,2.67,3.22
SYN_EMP_0021,2024-10-09,2024-07-09,2024-08-01,2,Trainee Software Engineer,techops,uk,2.46,2.82
SYN_EMP_0021,2024-10-09,2024-07-09,2024-09-01,3,Trainee Software Engineer,techops,uk,2.28,2.82
SYN_EMP_0022,2024-10-26,2024-07-26,2024-08-01,2,Solutions Enabler,ai_ml,chennai,2.79,2.98
SYN_EMP_0022,2024-10-26,2024-07-26,2024-09-01,3,Solutions Enabler,ai_ml,chennai,2.7,2.98
SYN_EMP_0023,2024-10-26,2024-07-26,2024-08-01,2,Solutions Consultant,bi_reporting,chennai,2.67,3.02
SYN_EMP_0023,2024-10-26,2024-07-26,2024-09-01,3,Solutions Consultant,bi_reporting,chennai,2.49,3.02
SYN_EMP_0024,2024-10-17,2024-07-17,2024-08-01,2,Senior Software Engineer,bi_reporting,chennai,2.74,3.11
SYN_EMP_0024,2024-10-17,2024-07-17,2024-09-01,3,Senior Software Engineer,bi_reporting,chennai,2.56,3.11
SYN_EMP_0025,2024-10-02,2024-07-02,2024-08-01,2,Trainee Software Engineer,data_engineering,chennai,3.18,3.32
SYN_EMP_0025,2024-10-02,2024-07-02,2024-09-01,3,Trainee Software Engineer,data_engineering,chennai,3.1,3.32
SYN_EMP_0026,2024-10-28,2024-07-28,2024-08-01,2,Solutions Enabler,techops,chennai,3.05,3.36
SYN_EMP_0026,2024-10-28,2024-07-28,2024-09-01,3,Solutions Enabler,techops,chennai,2.89,3.36
SYN_EMP_0027,2024-10-07,2024-07-07,2024-08-01,2,Software Engineer,data_engineering,chennai,3.07,3.28
SYN_EMP_0027,2024-10-07,2024-07-07,2024-09-01,3,Software Engineer,data_engineering,chennai,2.96,3.28
SYN_EMP_0028,2024-10-08,2024-07-08,2024-08-01,2,Software Engineer,bi_reporting,chennai,2.7,2.9
SYN_EMP_0028,2024-10-08,2024-07-08,2024-09-01,3,Software Engineer,bi_reporting,chennai,2.61,2.9
SYN_EMP_0029,2024-10-13,2024-07-13,2024-08-01,2,Manager,data_engineering,chennai,2.83,3.05
SYN_EMP_0029,2024-10-13,2024-07-13,2024-09-01,3,Manager,data_engineering,chennai,2.72,3.05
SYN_EMP_0030,2024-10-19,2024-07-19,2024-08-01,2,Software Engineer,bi_reporting,chennai,3.11,3.5
SYN_EMP_0030,2024-10-19,2024-07-19,2024-09-01,3,Software Engineer,bi_reporting,chennai,2.91,3.5
SYN_EMP_0031,2024-10-09,2024-07-09,2024-08-01,2,Trainee Software Engineer,data_engineering,chennai,2.7,2.96
SYN_EMP_0031,2024-10-09,2024-07-09,2024-09-01,3,Trainee Software Engineer,data_engineering,chennai,2.57,2.96
SYN_EMP_0032,2024-11-24,2024-08-24,2024-08-01,1,Trainee Software Engineer,bi_reporting,chennai,2.94,3.11
SYN_EMP_0032,2024-11-24,2024-08-24,2024-09-01,2,Trainee Software Engineer,bi_reporting,chennai,2.76,3.11
SYN_EMP_0032,2024-11-24,2024-08-24,2024-10-01,3,Trainee Software Engineer,bi_reporting,chennai,2.58,3.11
SYN_EMP_0033,2024-11-22,2024-08-22,2024-08-01,1,Trainee Software Engineer,data_engineering,uk,2.49,2.64
SYN_EMP_0033,2024-11-22,2024-08-22,2024-09-01,2,Trainee Software Engineer,data_engineering,uk,2.34,2.64
SYN_EMP_0033,2024-11-22,2024-08-22,2024-10-01,3,Trainee Software Engineer,data_engineering,uk,2.19,2.64
SYN_EMP_0034,2024-11-19,2024-08-19,2024-08-01,1,Senior Consultant,techops,chennai,2.83,2.97
SYN_EMP_0034,2024-11-19,2024-08-19,2024-09-01,2,Senior Consultant,techops,chennai,2.68,2.97
SYN_EMP_0034,2024-11-19,2024-08-19,2024-10-01,3,Senior Consultant,techops,chennai,2.54,2.97
SYN_EMP_0035,2024-11-20,2024-08-20,2024-08-01,1,Trainee Software Engineer,data_engineering,chennai,2.46,2.62
SYN_EMP_0035,2024-11-20,2024-08-20,2024-09-01,2,Trainee Software Engineer,data_engineering,chennai,2.3,2.62
SYN_EMP_0035,2024-11-20,2024-08-20,2024-10-01,3,Trainee Software Engineer,data_engineering,chennai,2.14,2.62
SYN_EMP_0036,2024-11-22,2024-08-22,2024-08-01,1,Senior Software Engineer,full_stack,uk,2.36,2.53
SYN_EMP_0036,2024-11-22,2024-08-22,2024-09-01,2,Senior Software Engineer,full_stack,uk,2.2,2.53
SYN_EMP_0036,2024-11-22,2024-08-22,2024-10-01,3,Senior Software Engineer,full_stack,uk,2.04,2.53
SYN_EMP_0037,2024-11-03,2024-08-03,2024-08-01,1,Software Engineer,data_engineering,uk,3.26,3.42
SYN_EMP_0037,2024-11-03,2024-08-03,2024-09-01,2,Software Engineer,data_engineering,uk,3.09,3.42
SYN_EMP_0037,2024-11-03,2024-08-03,2024-10-01,3,Software Engineer,data_engineering,uk,2.93,3.42
SYN_EMP_0038,2024-11-08,2024-08-08,2024-08-01,1,Senior Associate Consultant,techops,chennai,3.1,3.33
SYN_EMP_0038,2024-11-08,2024-08-08,2024-09-01,2,Senior Associate Consultant,techops,chennai,2.87,3.33
SYN_EMP_0038,2024-11-08,2024-08-08,2024-10-01,3,Senior Associate Consultant,techops,chennai,2.64,3.33
SYN_EMP_0039,2024-11-05,2024-08-05,2024-08-01,1,Software Engineer,bi_reporting,chennai,3.47,3.62
SYN_EMP_0039,2024-11-05,2024-08-05,2024-09-01,2,Software Engineer,bi_reporting,chennai,3.32,3.62
SYN_EMP_0039,2024-11-05,2024-08-05,2024-10-01,3,Software Engineer,bi_reporting,chennai,3.16,3.62
SYN_EMP_0040,2024-12-12,2024-09-12,2024-09-01,1,Software Engineer,full_stack,chennai,2.92,3.15
SYN_EMP_0040,2024-12-12,2024-09-12,2024-10-01,2,Software Engineer,full_stack,chennai,2.7,3.15
SYN_EMP_0040,2024-12-12,2024-09-12,2024-11-01,3,Software Engineer,full_stack,chennai,2.47,3.15
SYN_EMP_0041,2024-12-07,2024-09-07,2024-09-01,1,Trainee Software Engineer,full_stack,chennai,3.1,3.29
SYN_EMP_0041,2024-12-07,2024-09-07,2024-10-01,2,Trainee Software Engineer,full_stack,chennai,2.92,3.29
SYN_EMP_0041,2024-12-07,2024-09-07,2024-11-01,3,Trainee Software Engineer,full_stack,chennai,2.73,3.29
SYN_EMP_0042,2024-12-14,2024-09-14,2024-09-01,1,Solutions Enabler,full_stack,chennai,2.96,3.07
SYN_EMP_0042,2024-12-14,2024-09-14,2024-10-01,2,Solutions Enabler,full_stack,chennai,2.85,3.07
SYN_EMP_0042,2024-12-14,2024-09-14,2024-11-01,3,Solutions Enabler,full_stack,chennai,2.73,3.07
SYN_EMP_0043,2024-12-26,2024-09-26,2024-09-01,1,Solutions Enabler,full_stack,usa,3.02,3.17
SYN_EMP_0043,2024-12-26,2024-09-26,2024-10-01,2,Solutions Enabler,full_stack,usa,2.87,3.17
SYN_EMP_0043,2024-12-26,2024-09-26,2024-11-01,3,Solutions Enabler,full_stack,usa,2.72,3.17
SYN_EMP_0044,2024-12-23,2024-09-23,2024-09-01,1,Associate Consultant,bi_reporting,uk,2.84,3.12
SYN_EMP_0044,2024-12-23,2024-09-23,2024-10-01,2,Associate Consultant,bi_reporting,uk,2.56,3.12
SYN_EMP_0044,2024-12-23,2024-09-23,2024-11-01,3,Associate Consultant,bi_reporting,uk,2.28,3.12
SYN_EMP_0045,2024-12-16,2024-09-16,2024-09-01,1,Trainee Software Engineer,full_stack,chennai,2.98,3.1
SYN_EMP_0045,2024-12-16,2024-09-16,2024-10-01,2,Trainee Software Engineer,full_stack,chennai,2.85,3.1
SYN_EMP_0045,2024-12-16,2024-09-16,2024-11-01,3,Trainee Software Engineer,full_stack,chennai,2.73,3.1
