month,avg_q1_motivation,avg_q5_workload,pct_employees_overall_le_2,n_respondents,response_rate_pct,notice_cohort_avg_pulse_before,notice_cohort_avg_pulse_during,notice_cohort_pulse_delta
2024-08-01,3.17,2.99,6.9,394,71.0,3.07,2.7,-0.36
2024-09-01,3.05,3.07,11.9,419,74.3,3.07,2.71,-0.36
2024-10-01,3.08,2.98,15.7,344,59.9,2.99,2.64,-0.35
2024-11-01,3.18,3.02,9.1,404,69.2,2.95,2.57,-0.38
2024-12-01,3.19,3.02,8.3,415,70.2,3.02,2.62,-0.4
2025-01-01,3.24,3.3,5.5,441,73.7,3.07,2.73,-0.34
2025-02-01,3.06,2.79,15.8,440,73.1,3.12,2.74,-0.38
2025-03-01,3.05,2.82,13.4,403,66.4,3.11,2.67,-0.44
2025-04-01,3.06,2.81,10.7,408,66.6,3.13,2.71,-0.42
2025-05-01,2.95,2.97,15.4,361,58.4,3.16,2.76,-0.39
2025-06-01,3.09,2.95,13.3,465,74.5,3.12,2.74,-0.38
2025-07-01,3.12,3.12,14.1,378,60.1,3.16,2.84,-0.32
2025-08-01,3.04,2.68,15.8,442,69.5,3.11,2.74,-0.38
2025-09-01,3.0,3.01,11.1,460,71.0,3.14,2.7,-0.44
2025-10-01,3.11,2.9,14.8,421,63.9,3.09,2.75,-0.34
2025-11-01,3.27,3.08,10.1,430,59.2,3.02,2.65,-0.37
2025-12-01,3.15,2.93,8.9,459,58.8,2.96,2.56,-0.4
2026-01-01,3.06,2.99,14.2,594,72.2,2.96,2.62,-0.35
2026-02-01,2.98,2.74,18.0,541,65.2,3.0,2.59,-0.4
2026-03-01,2.96,2.47,24.9,475,56.8,3.01,2.57,-0.44
2026-04-01,2.87,2.68,20.1,587,69.3,3.06,2.72,-0.35
2026-05-01,2.85,2.41,23.1,514,60.0,3.07,2.66,-0.42
2026-06-01,2.88,2.59,20.0,625,72.5,3.16,2.66,-0.5
2026-07-01,2.94,2.68,19.6,531,61.2,,,
