project_key,project_code,project_name,project_start_date,project_end_date,type_of_project,project_status,reporter_employee_id,approver_employee_id,client_id,tech_coe,proposition_coe,is_active_version,date_source,extended_end_date,extended_end_status,cluster_number
9e5668f22ea4cee8e0e813e791f641ec668b4b10e2b514402e220cea00892f25,GCC_005,Growth Curve - DD - Project Whistler (RC),2024-03-08,2024-03-29,Client Project,COMPLETE,JMG81,JMG159,E7B0400F-CBCC-4BE8-9573-F811A6B47A40,,Due Diligence,1,given,,,3.0
9edc5e0001a2baab219eb16c872fd76f6784b9114dd37d18538ce714517d7ed3,JUM_004,Equivia - JUMiNGO - Part-Time Managed Service (JT/LG/JR),2026-01-05,2026-03-30,Client Project,COMPLETE,JMD31,JMD144,870D2486-FD7A-46AB-9D9B-2672ECFCECB6,Data Engineering,Managed Service,1,given,,,1.0
b18e2c4c48692ed34c81543e831036ae82bd534e678fe5e823cc714f4ffd70e8,FMT_003,Baird Capital - Freemarket - Automate Commercial Dashboard (SS / JAT / RS),2024-01-08,2024-02-27,Client Project,COMPLETE,JMG64,JMD116,150AB409-24E2-4F6D-A223-F05935E58DA6,,Core Reporting,1,given,,,2.0
af7e2c6d9c3c1c2810bd2b5181f87b7efb6171d2430df368861e2b64d0d06216,RLD_001,ARR Reporting,2022-09-26,2022-12-23,Client Project,COMPLETE,JMG112,JMD89,6FA65EF2-FAFC-432E-ADF3-4E4090AE887D,,,1,given,,,1.0
8136a74cf773eab1bf5a9f5dd1b2cdd09f9eb5b9dadc79bd6d11b728b3a8de5b,BKM_006,Bookmark FUP,2020-11-23,2021-04-30,Client Project,COMPLETE,JMD160,JML56,E07682C0-7187-4EC7-A4B4-2590F0F0032D,,,1,given,,,
242a6df414a87450f9aee6c526c1959e20b6e5101fef4eecaa7a1c9b6b9298e6,ERG_002,Permira - Ergomed - Sales Funnel / ICP Phase 1,2025-10-06,2025-11-17,Client Project,PROPOSE,JMG141,JMG141,B128A82A-816D-4216-B236-BCB1BDBE5E92,Data Science & ML,Value Creation,1,given,,,1.0
84297f00fabfb1a3861e9918318721a6b3b331ee61f1c5b8396c3269485a5df2,HCE_001,Graphite Capital - Horizon Care & Education - Design and Discovery,2026-06-08,2026-07-13,Client Project,DEAL WON,JMG398,JMD152,B547876F-43ED-4217-A8E3-6A249273B1EE,Consulting,Data Advisory,1,given,,,2.0
bd3f13fe4a086800e656fa3f03da068fb22578ebe65d5f17faff6c00f092618f,NTL_003,Winning and Retaining Customers,2022-09-05,2023-01-31,Client Project,COMPLETE,JMG112,JMG112,4A53C5AA-F996-4D6C-90D5-3B4046634709,,,1,given,,,3.0
fb1cccb9e74ee1f00f66f69856e33372d1b73f3ec49d5e35a363460760de8c4c,JMG_243,Product - CustomerRevML,2025-01-28,2026-12-31,Internal Project,COMPLETE,JMD37,JMD112,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,Data Science & ML,Value Creation,1,given,,,
4653e0fe5890cf01236b4e6dc279c7066a35f96aa40289afa85f845de720d7b6,JMG_231,Pharma Services (sales) - Internal Project,2024-10-28,2025-01-31,Internal Project,COMPLETE,JMG141,JMD20,45AC9AD7-51C9-4C2D-AB89-ADEA174B2771,,,1,given,,,
