wsr_key,wsr_id,project_id_masked,scope_status,schedule_status,quality_status,csat_status,team_status,week_start_date,week_end_date
c0f920e8f13661ef78142c148a3e9ab7155e0e96bcdb3f6ac62e5d7adad6d576,00146317-5965-409F-B523-3A6407732C3B,CLIENT_363_002,AMBER,AMBER,RED,RED,AMBER,2024-08-15,2024-08-21
f2fbf5866677555dd1006563f12979bd34fd490783b1e503b8a8af624029ef3d,000B37D3-F259-430D-B508-9E445DDA4A98,CLIENT_201_005,GREEN,GREEN,GREEN,GREEN,GREEN,2025-01-01,2025-01-07
f606478f04b003c46c105eea25d6c068e4542adc806511ee7433d1f2ab864a32,0018DD87-EDE5-4170-AE2E-9F1F9717198E,CLIENT_268_004,GREEN,GREEN,GREEN,GREEN,GREEN,2025-02-17,2025-02-23
731b2fe530c024577f069b511cf919aa79c176675b46d39a649ff8922580b43e,0003ED80-C71B-4BFA-B638-36922E45E4FA,CLIENT_140_003,GREEN,GREEN,GREEN,GREEN,GREEN,2025-04-07,2025-04-13
b8e6f78bc1176112a9a90b3ee61376cda6fcf065ea846f3eaa561210d3256d24,000DD198-F4C9-49FD-9F79-AB506B791EDC,CLIENT_87_006,GREEN,GREEN,GREEN,GREEN,GREEN,2026-02-02,2026-02-08
3e4ed0c44b7f566b979d67bb9f57ee05c2c302e6a9cf418a70f89c684c41773a,004C62B1-4D8E-46FD-A731-761B0FF26377,CLIENT_429_003,GREEN,GREEN,GREEN,GREEN,GREEN,2025-07-28,2025-08-03
6c2d1b89c4d83f7fd18ca99dc8d277844105fc16d6625f2e289f1a5a9417d426,004CCD8A-6C1B-43C4-9015-B940E7A8C50B,CLIENT_31_002,GREEN,GREEN,GREEN,GREEN,GREEN,2025-11-03,2025-11-09
b11b075e4f35041fb8ffaaf430668c8344b36adbc57a2dc257a656843616014a,005B5A67-AD86-4380-AC4C-8F6786F40943,CLIENT_37_003,AMBER,AMBER,AMBER,AMBER,AMBER,2024-10-11,2024-10-17
70913c832a7f609c6aeb20c24006a1451b1367c8d8c5d8e705eb3281c61bfb38,00621361-1092-4EB6-A837-5B7D23D1424E,CLIENT_8_007,AMBER,GREEN,AMBER,AMBER,AMBER,2023-10-15,2023-10-21
ce7f85d8f90fbe84ae87e5d171bc04e300142fe49a96360a779a9e15d6cdc2e0,00471F16-1DE7-4703-9759-3A751243C9FA,CLIENT_155_005,GREEN,GREEN,GREEN,GREEN,GREEN,2025-12-29,2026-01-04
