employee_id,leave_start_date,leave_end_date,leave_type,status,source
EMP477,2026-06-26,2026-06-30,Planned,Approved,synthetic
EMP273,2026-07-29,2026-08-05,Sick,Approved,synthetic
EMP583,2026-07-18,2026-07-20,Sick,Approved,synthetic
EMP80,2026-07-28,2026-07-31,Planned,Approved,synthetic
EMP956,2026-07-08,2026-07-11,Sick,Approved,synthetic
EMP57,2026-07-20,2026-07-23,Planned,Approved,synthetic
EMP326,2026-07-12,2026-07-15,Planned,Approved,synthetic
EMP919,2026-07-11,2026-07-13,Emergency,Approved,synthetic
EMP103,2026-08-06,2026-08-10,Sick,Approved,synthetic
EMP972,2026-06-18,2026-06-24,Planned,Approved,synthetic
EMP749,2026-06-27,2026-07-04,Sick,Approved,synthetic
EMP978,2026-07-18,2026-07-25,Sick,Approved,synthetic
EMP944,2026-07-03,2026-07-05,Planned,Approved,synthetic
EMP1018,2026-06-18,2026-06-22,Emergency,Approved,synthetic
EMP226,2026-06-19,2026-06-26,Planned,Approved,synthetic
EMP210,2026-07-16,2026-07-19,Planned,Approved,synthetic
EMP267,2026-06-20,2026-06-25,Planned,Approved,synthetic
EMP921,2026-08-01,2026-08-03,Emergency,Approved,synthetic
EMP925,2026-07-13,2026-07-18,Sick,Approved,synthetic
EMP288,2026-06-23,2026-06-25,Sick,Approved,synthetic
EMP492,2026-08-05,2026-08-09,Sick,Approved,synthetic
EMP906,2026-07-09,2026-07-16,Planned,Approved,synthetic
EMP898,2026-07-05,2026-07-10,Planned,Approved,synthetic
EMP79,2026-06-20,2026-06-24,Planned,Approved,synthetic
EMP435,2026-06-29,2026-07-01,Planned,Approved,synthetic
EMP386,2026-06-27,2026-07-04,Sick,Approved,synthetic
EMP937,2026-07-04,2026-07-10,Planned,Approved,synthetic
EMP127,2026-07-03,2026-07-10,Sick,Approved,synthetic
EMP404,2026-07-29,2026-08-05,Planned,Approved,synthetic
EMP97,2026-07-18,2026-07-24,Planned,Approved,synthetic
EMP676,2026-06-19,2026-06-23,Planned,Approved,synthetic
EMP582,2026-08-01,2026-08-04,Planned,Approved,synthetic
EMP169,2026-06-29,2026-07-03,Sick,Approved,synthetic
EMP417,2026-06-24,2026-06-28,Planned,Approved,synthetic
EMP406,2026-06-24,2026-07-01,Planned,Approved,synthetic
EMP313,2026-07-03,2026-07-06,Emergency,Approved,synthetic
EMP197,2026-07-03,2026-07-08,Planned,Approved,synthetic
EMP230,2026-08-07,2026-08-11,Planned,Approved,synthetic
EMP278,2026-07-31,2026-08-04,Planned,Approved,synthetic
EMP320,2026-07-18,2026-07-23,Planned,Approved,synthetic
EMP634,2026-06-25,2026-06-27,Planned,Approved,synthetic
EMP174,2026-07-13,2026-07-18,Planned,Approved,synthetic
EMP992,2026-07-22,2026-07-27,Emergency,Approved,synthetic
EMP371,2026-08-05,2026-08-08,Planned,Approved,synthetic
