pulse_surrogate_key,employee_id,manager_id,project_id,week_start_date,week_end_date,hours_logged_that_week,q1_inspired_motivated,q2_valued_supported,q3_feedback_growth,q4_cdm_guidance,q5_workload_sustainable,progress_pct,status,submitted_on,created_at,updated_at,data_loaded_at
3a0b2fad212945cb88c2ac231f64b5da,EMP1,EMP46,CLIENT_127_006,29-12-2025,04-01-2026,16.0,2,4,3,4,2,100,SUBMITTED,07-01-2026,07-01-2026,07-01-2026,07-01-2026
0d2225d70ab84e82bc7a47e8e919b16b,EMP1,EMP301,CLIENT_72_014,05-01-2026,11-01-2026,49.0,2,3,3,4,4,100,SUBMITTED,12-01-2026,12-01-2026,12-01-2026,12-01-2026
79a85d71200b4ce3973e768bdf25d2c1,EMP1,EMP245,CLIENT_72_014,12-01-2026,18-01-2026,46.5,3,4,4,2,3,100,SUBMITTED,19-01-2026,19-01-2026,19-01-2026,19-01-2026
5143f0d394c34e17bf58ea7de54865b2,EMP1,EMP245,CLIENT_72_014,19-01-2026,25-01-2026,44.5,3,3,1,2,4,100,SUBMITTED,27-01-2026,27-01-2026,27-01-2026,27-01-2026
dcc5c8a6c07440fbb8818ba58a1c9c59,EMP1,EMP245,CLIENT_72_014,26-01-2026,01-02-2026,45.0,3,4,1,3,4,100,SUBMITTED,02-02-2026,02-02-2026,02-02-2026,02-02-2026
b01e0f397864484bab096aa67b0fc471,EMP1,EMP46,CLIENT_72_014,02-02-2026,08-02-2026,45.5,3,3,3,4,3,100,SUBMITTED,09-02-2026,09-02-2026,09-02-2026,09-02-2026
0ec08834e0f14c50a62ff5196f64609f,EMP1,EMP301,CLIENT_72_014,09-02-2026,15-02-2026,46.0,1,3,3,2,3,100,SUBMITTED,17-02-2026,17-02-2026,17-02-2026,17-02-2026
50493913e6034a68aed2087813fb01c1,EMP1,EMP815,CLIENT_72_014,16-02-2026,22-02-2026,47.0,3,2,4,3,3,100,SUBMITTED,23-02-2026,23-02-2026,23-02-2026,23-02-2026
b2135489c9b54ff3a131e7de9e406cb4,EMP1,EMP245,CLIENT_72_014,23-02-2026,01-03-2026,46.5,1,1,3,3,2,100,SUBMITTED,02-03-2026,02-03-2026,02-03-2026,02-03-2026
abde217752054db4b563faea609d4f8a,EMP1,EMP245,CLIENT_72_014,02-03-2026,08-03-2026,46.0,3,4,3,1,2,100,SUBMITTED,11-03-2026,11-03-2026,11-03-2026,11-03-2026
877f83d4219d4166b636d029ad359e32,EMP1,EMP301,CLIENT_72_014,09-03-2026,15-03-2026,51.0,2,3,3,3,3,100,SUBMITTED,18-03-2026,18-03-2026,18-03-2026,18-03-2026
8da61d5d247749b787fe2dafe7ffbc41,EMP1,EMP815,CLIENT_72_014,16-03-2026,22-03-2026,46.5,2,4,3,2,4,100,SUBMITTED,23-03-2026,23-03-2026,23-03-2026,23-03-2026
0a38d6ec1d6c48f19bc57099a435aeff,EMP1,EMP301,CLIENT_72_014,23-03-2026,29-03-2026,48.5,2,3,4,1,3,100,SUBMITTED,01-04-2026,01-04-2026,01-04-2026,01-04-2026
bfd63c6b79b048ee915e6251e12e9dd4,EMP1,EMP815,CLIENT_127_006,30-03-2026,05-04-2026,43.0,3,2,3,1,3,100,SUBMITTED,07-04-2026,07-04-2026,07-04-2026,07-04-2026
8170b6194ced417584c83be15e8dddbe,EMP1,EMP815,CLIENT_72_014,06-04-2026,12-04-2026,47.0,4,2,3,2,3,100,SUBMITTED,15-04-2026,15-04-2026,15-04-2026,15-04-2026
7fe636b5be274b6eba534a75339be539,EMP1,EMP245,CLIENT_72_014,13-04-2026,19-04-2026,50.0,3,4,1,3,4,100,SUBMITTED,20-04-2026,20-04-2026,20-04-2026,20-04-2026
2c5adf159ad342e3ae4e9e564c727dd1,EMP1,EMP245,CLIENT_127_001,20-04-2026,26-04-2026,48.0,1,4,4,2,3,100,SUBMITTED,28-04-2026,28-04-2026,28-04-2026,28-04-2026
d2a39434cc404691aee2d2700db9715d,EMP1,EMP151,CLIENT_214_001,27-04-2026,03-05-2026,48.5,3,1,3,1,1,100,SUBMITTED,04-05-2026,04-05-2026,04-05-2026,04-05-2026
abd20877df884011b474877da56508b7,EMP1,EMP815,CLIENT_214_001,04-05-2026,10-05-2026,46.0,2,4,1,2,2,100,SUBMITTED,12-05-2026,12-05-2026,12-05-2026,12-05-2026
9ef207e2461d445c8b3775a0b291dace,EMP1,EMP815,CLIENT_214_001,11-05-2026,17-05-2026,48.0,4,3,3,1,1,100,SUBMITTED,19-05-2026,19-05-2026,19-05-2026,19-05-2026
49c927aa1ca24125b1ce712dad16a63c,EMP1,EMP151,CLIENT_214_002,18-05-2026,24-05-2026,46.0,1,2,3,4,3,100,SUBMITTED,27-05-2026,27-05-2026,27-05-2026,27-05-2026
269c698c2c3b46f988839b103100a312,EMP1,EMP151,CLIENT_214_002,25-05-2026,31-05-2026,47.0,3,4,3,4,1,100,SUBMITTED,03-06-2026,03-06-2026,03-06-2026,03-06-2026
9dc522de013e4bc2a262480ff45c6522,EMP1,EMP815,CLIENT_214_002,01-06-2026,07-06-2026,49.0,1,3,3,4,3,100,SUBMITTED,09-06-2026,09-06-2026,09-06-2026,09-06-2026
7bb1792d558f4bec89dbe6b8bfa5c09d,EMP1,EMP151,CLIENT_214_002,08-06-2026,14-06-2026,47.0,3,3,3,4,2,100,SUBMITTED,15-06-2026,15-06-2026,15-06-2026,15-06-2026
02be536add464884a58ff223af773e8c,EMP1,EMP46,CLIENT_127_006,15-06-2026,21-06-2026,41.0,1,3,4,2,1,100,SUBMITTED,22-06-2026,22-06-2026,22-06-2026,22-06-2026
3be6761cc0e64e15bf48f3b458edaa11,EMP10,EMP46,CLIENT_127_006,29-12-2025,04-01-2026,16.0,4,2,3,4,3,100,SUBMITTED,07-01-2026,07-01-2026,07-01-2026,07-01-2026
5f82886ef6ec4d5796079771fde9d633,EMP10,EMP567,CLIENT_155_005,05-01-2026,11-01-2026,41.0,3,3,3,3,3,100,SUBMITTED,14-01-2026,14-01-2026,14-01-2026,14-01-2026
624a1d04714a405ba96ef7caa65c2de7,EMP10,EMP567,CLIENT_155_005,12-01-2026,18-01-2026,40.0,3,4,4,4,3,100,SUBMITTED,21-01-2026,21-01-2026,21-01-2026,21-01-2026
da1818f1660449f7805bead9f4a67470,EMP10,EMP567,CLIENT_155_005,19-01-2026,25-01-2026,40.0,4,4,3,4,1,100,SUBMITTED,27-01-2026,27-01-2026,27-01-2026,27-01-2026
e629454b1a7f47df813fa8f4d54ba5ae,EMP10,EMP567,CLIENT_155_005,26-01-2026,01-02-2026,43.0,4,4,3,4,4,100,SUBMITTED,04-02-2026,04-02-2026,04-02-2026,04-02-2026
b8d4c74d9a254e98bbeebb00042a8e52,EMP10,EMP567,CLIENT_155_005,02-02-2026,08-02-2026,48.0,3,4,3,3,4,100,SUBMITTED,11-02-2026,11-02-2026,11-02-2026,11-02-2026
4e2aeb5ea083414987aa65755c379947,EMP10,EMP567,CLIENT_155_005,09-02-2026,15-02-2026,46.0,3,3,3,2,3,100,SUBMITTED,18-02-2026,18-02-2026,18-02-2026,18-02-2026
8c09030024e94f809490db64c26798c2,EMP10,EMP567,CLIENT_155_005,16-02-2026,22-02-2026,45.0,4,3,3,2,4,100,SUBMITTED,23-02-2026,23-02-2026,23-02-2026,23-02-2026
48d793ad3d274c8c9646061afea39fa8,EMP10,EMP567,CLIENT_155_005,23-02-2026,01-03-2026,47.0,3,4,4,3,2,100,SUBMITTED,02-03-2026,02-03-2026,02-03-2026,02-03-2026
6c323c5482c84e6b9f1aed397e104534,EMP10,EMP567,CLIENT_127_006,02-03-2026,08-03-2026,40.0,3,2,3,4,1,100,SUBMITTED,09-03-2026,09-03-2026,09-03-2026,09-03-2026
73a7a51d0cc84e93a4cfcad4da7e5428,EMP10,EMP567,CLIENT_155_005,09-03-2026,15-03-2026,51.0,1,1,2,4,3,100,SUBMITTED,16-03-2026,16-03-2026,16-03-2026,16-03-2026
bdf6425ce5cb44ea90122d17d996f854,EMP10,EMP567,CLIENT_155_005,16-03-2026,22-03-2026,46.0,2,1,4,4,3,100,SUBMITTED,24-03-2026,24-03-2026,24-03-2026,24-03-2026
68c5ce23c3654776ad41ecf65ff186e4,EMP10,EMP567,CLIENT_155_005,23-03-2026,29-03-2026,42.0,4,3,2,2,3,100,SUBMITTED,31-03-2026,31-03-2026,31-03-2026,31-03-2026
abaf951e3dc045778651177deff4683e,EMP10,EMP567,CLIENT_155_005,30-03-2026,05-04-2026,40.6,4,3,1,3,3,100,SUBMITTED,08-04-2026,08-04-2026,08-04-2026,08-04-2026
d3a259eee1b94362a9331b138fba9b9c,EMP10,EMP301,CLIENT_127_028,06-04-2026,12-04-2026,40.0,3,4,3,1,3,100,SUBMITTED,13-04-2026,13-04-2026,13-04-2026,13-04-2026
970251d4f732401aa29dd4cbdbef753e,EMP10,EMP46,CLIENT_231_002,13-04-2026,19-04-2026,40.0,1,4,4,3,3,100,SUBMITTED,20-04-2026,20-04-2026,20-04-2026,20-04-2026
